datetime,BTCUSDT,ETHUSDT
2023-11-25 09:05:00,37760.94,2085.57
2023-11-25 09:06:00,37759.42,2084.6
2023-11-25 09:07:00,37759.42,2084.6
2023-11-25 09:08:00,37759.42,2084.6
2023-11-25 09:09:00,37745.09,2083.33
2023-11-25 09:10:00,37757.72,2084.08
2023-11-25 09:11:00,37756.56,2083.34
2023-11-25 09:12:00,37742.64,2081.36
2023-11-25 09:13:00,37730.65,2081.27
2023-11-25 09:14:00,37747.58,2082.47
2023-11-25 09:15:00,37747.58,2082.39
2023-11-25 09:16:00,37746.69,2082.39
2023-11-25 09:17:00,37746.24,2082.39
2023-11-25 09:18:00,37746.59,2082.39
2023-11-25 09:19:00,37752.97,2082.39
2023-11-25 09:20:00,37755.74,2082.47
2023-11-25 09:21:00,37729.82,2083.62
2023-11-25 09:22:00,37729.83,2083.62
2023-11-25 09:23:00,37749.36,2083.62
2023-11-25 09:24:00,37749.36,2081.96
2023-11-25 09:25:00,37747.4,2081.96
2023-11-25 09:26:00,37746.38,2081.96
2023-11-25 09:27:00,37733.88,2081.96
2023-11-25 09:28:00,37732.92,2081.96
2023-11-25 09:29:00,37734.15,2081.96
2023-11-25 09:30:00,37729.42,2081.96
2023-11-25 09:31:00,37729.71,2081.28
2023-11-25 09:32:00,37729.0,2081.12
2023-11-25 09:33:00,37704.15,2080.04
2023-11-25 09:34:00,37725.38,2080.04
2023-11-25 09:35:00,37728.75,2080.04
2023-11-25 09:36:00,37728.73,2081.62
2023-11-25 09:37:00,37725.24,2081.62
2023-11-25 09:38:00,37720.74,2080.08
2023-11-25 09:39:00,37726.01,2080.08
2023-11-25 09:40:00,37722.16,2080.08
2023-11-25 09:41:00,37717.24,2080.08
2023-11-25 09:42:00,37720.99,2080.08
2023-11-25 09:43:00,37720.99,2082.76
2023-11-25 09:44:00,37726.99,2081.39
2023-11-25 09:45:00,37734.4,2081.39
2023-11-25 09:46:00,37735.42,2081.39
2023-11-25 09:47:00,37747.88,2081.39
2023-11-25 09:48:00,37747.88,2081.39
2023-11-25 09:49:00,37762.42,2082.83
2023-11-25 09:50:00,37763.42,2082.83
2023-11-25 09:51:00,37736.32,2082.83
2023-11-25 09:52:00,37746.19,2082.83
2023-11-25 09:53:00,37736.44,2082.83
2023-11-25 09:54:00,37741.51,2082.83
2023-11-25 09:55:00,37741.51,2082.83
2023-11-25 09:56:00,37736.33,2082.83
2023-11-25 09:57:00,37739.3,2082.83
2023-11-25 09:58:00,37738.19,2083.31
2023-11-25 09:59:00,37739.3,2083.2
2023-11-25 10:00:00,37738.19,2083.2
2023-11-25 10:01:00,37737.18,2083.2
2023-11-25 10:02:00,37732.35,2083.2
2023-11-25 10:03:00,37732.35,2083.2
2023-11-25 10:04:00,37738.4,2084.61
2023-11-25 10:05:00,37726.06,2084.61
2023-11-25 10:06:00,37723.71,2084.61
2023-11-25 10:07:00,37726.07,2084.61
2023-11-25 10:08:00,37724.54,2084.61
2023-11-25 10:09:00,37735.09,2084.61
2023-11-25 10:10:00,37734.87,2084.61
2023-11-25 10:11:00,37731.86,2084.61
2023-11-25 10:12:00,37713.85,2082.83
2023-11-25 10:13:00,37730.28,2082.83
2023-11-25 10:14:00,37729.71,2082.83
2023-11-25 10:15:00,37721.19,2082.83
2023-11-25 10:16:00,37717.29,2081.5
2023-11-25 10:17:00,37716.72,2081.5
2023-11-25 10:18:00,37709.63,2080.04
2023-11-25 10:19:00,37703.33,2080.04
2023-11-25 10:20:00,37698.34,2080.04
2023-11-25 10:21:00,37698.29,2080.04
2023-11-25 10:22:00,37705.83,2080.04
2023-11-25 10:23:00,37702.32,2080.04
2023-11-25 10:24:00,37700.0,2080.04
2023-11-25 10:25:00,37707.79,2080.04
2023-11-25 10:26:00,37682.12,2080.04
2023-11-25 10:27:00,37699.99,2080.04
2023-11-25 10:28:00,37695.5,2080.04
2023-11-25 10:29:00,37675.54,2080.04
2023-11-25 10:30:00,37695.02,2080.04
2023-11-25 10:31:00,37672.62,2080.04
2023-11-25 10:32:00,37690.05,2080.04
2023-11-25 10:33:00,37693.57,2080.04
2023-11-25 10:34:00,37688.81,2078.4
2023-11-25 10:35:00,37684.35,2078.48
